Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package,#
1,Small Coupling Expansion for Multiple Sequence Alignment,https://arxiv.org/pdf/2210.03463.pdf,,https:://pfam.xfam.org,Link to Pfam dataset,Pfam,Experimentation,working,Y,Y,code,Y,
2,String Comparison on a Quantum Computer Using Hamming Distance,https://arxiv.org/pdf/2106.16173.pdf,,https://qiskit.org/documentation/apidoc/qiskit_aqua.html,Related concept documentation,,References,not working,,,paper,,
,,,,https://quantum-computing.ibm.com/lab/docs/iql/manage/systems/midcircuit-measurement/,IBM quantum lab link,,References,working,,,article,,
,,,,https://doi.org/10.5281/zenodo.2562110,DOI related paper,,References,working,,,paper,,
,,,,https://doi.org/10.20944/preprints201804.0164.v2,DOI related paper,,References,working,,,paper,,
,,,,https://www.sciencemag.org/news/2020/09/ibm-promises-1000-qubit-quantum-computer-milestone-2023,News link,,References,working,,,article,,
,,,,https://github.com/miranska/qc-str,Related project github code,GitHub,References,working,Y,,code,,
,,,,https://doi.org/10.22331/q-2018-08-06-79,DOI related paper,,References,working,,,paper,,
,,,,https://www.forbes.com/sites/forbesbusinesscouncil/2020/07/14/the-present-and-future-of-quantum-computing-expansion/?sh=4815b6f943b9,Forbes article,,References,working,,,article,,
3,DISTANCE MATRIX BASED CRYSTAL STRUCTURE PREDICTION USING EVOLUTIONARY ALGORITHMS,https://arxiv.org/pdf/2009.13955.pdf,,http: www.materialsproject.org,Database online link,MaterialsProject,Availability of data,working,Y,Y,paper,Y,
4,Motif Discovery Algorithms in Static and Temporal Networks: A Survey,https://arxiv.org/pdf/2005.09721.pdf,18,http://ailab.wsu.edu/subdue/,Graph based knowledge discovery,,Table under Tools section,,,,article,,
,,,,http://mavisto.ipk-gatersleben.de/,Algorithm details,,Table under Tools section,,,,project,,
,,,,http://lbb.ut.ac.ir/dynamic/uploads/soft/Kavosh.rar,Algorithm details with data,,Table under Tools section,not working,,,project,,
,,,,http://www.cs.umd.edu/projects/seus/,Algorithm details with data,,Table under Tools section,SeuS projet details,,,project,,
,,,,https://www.weizmann.ac.il/mcb/UriAlon/download/network-motif-software/,Algorithm details with data,Weizmann,Table under Tools section,,Y,Y,project,,
,,,,http://theinf1.informatik.uni-jena.de/~wernicke/motifs/,Algorithm details with data,,Table under Tools section,not working,,,project,,
,,,,https://bitbucket.org/seshadhri/escape,Algorithm details with data,,Table under Tools section,working,,,project,,
,,,,http://www.eng.tau.ac.il/~shavitt/RAGE/Rage.htm,Algorithm details with data,RAGE,Table under Tools section,working,Y,Y,project,,
,,,,http://www.biolab.si/supp/orca/orca.html,Algorithm details with data,ROCA,Table under Tools section,working,Y,Y,project,,
,,,,https://github.com/DMGroup-IUPUI/GRAFT-Source,Algorithm details with data,,Table under Tools section,working,,Y,code,,
,,,,https://github.com/Steven--/graphlets,Algorithm details with data,,Table under Tools section,working,,,code,,
,,,,http://www.cse.iitd.ac.in/~sayan/software.html,Algorithm details with data,Sayan Ranu,Table under Tools section,working,Y,Y,code,,
,,,,http://snap.stanford.edu/temporal-motifs,Algorithm details with data,Snap,Table under Tools section,working,Y,Y,code,,
