Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package,#
1,IJCB 2022 Mobile Behavioral Biometrics Competition (MobileB2C),https://arxiv.org/pdf/2210.03072.pdf,3,https://github.com/BiDAlab/MobileB2C,Source code github,,Footer page,not working,,,code,,
,,,,https://sites.google.com/view/mobileb2c/,Project website,,Footer page,working,,,project,,
,,,,https://codalab.lisn.upsaclay.fr/competitions/3564,Competition website project,,Footer page,working,,,organization,,
2,Multi-agent Deep Covering Option Discovery,https://arxiv.org/pdf/2210.03269.pdf,,http://arxiv.org/abs/1712.04065,DOI related paper,,References,working,,,paper,,
,,,,http://arxiv.org/abs/1410.5401,DOI related paper,,References,working,,,paper,,
,,,,http://proceedings.mlr.press/v48/oh16.html,Proceeding of related paper,,References,working,,,paper,,
,,,,http://arxiv.org/abs/1412.3555,DOI related paper,,References,working,,,paper,,
3,LINK PARTITIONING ON SIMPLICIAL COMPLEXES USING HIGHER-ORDER LAPLACIANS,https://arxiv.org/pdf/2210.01849.pdf,,https://github.com/xinyiwu98/SCoNe_GCN,Source code github,GitHub,Experiments,working,Y,Y,code,Y,
4,Cooperative Beamforming Design for Multiple RIS-Assisted Communication Systems,https://arxiv.org/pdf/2209.15156.pdf,,10.1109/TWC.2021.3108458,DOI related paper,,References,working,,,paper,,
,,,,10.1109/TCOMM.2021.3079128,DOI related paper,,References,working,,,paper,,
,,,,10.1109/TCOMM.2021.3066587,DOI related paper,,References,working,,,paper,,
,,,,10.1109/TSP.2020.3047474,DOI related paper,,References,working,,,paper,,12
5,Entangling Practice with Artistic and Educational Aims: Interviews on Technology-based Movement-Sound Interactions,https://arxiv.org/ftp/arxiv/papers/2209/2209.13921.pdf,11,https://www.lafaktoria.org/en/bertha-bermudez/,Online website,,Footnotes section,working,,,organization,,
,,,,https://feuillantines.com/,,,Footnotes section,working,,,organization,,
,,,,https://www.bnf.fr/fr/agenda/concert-feminin-feminine,Online concert details,,Footnotes section,working,,,organization,,
,,,,http://gallicastudio.bnf.fr/voliere,,,Footnotes section,working,,,organization,,
,,,,http://www.marikimura.com/,Online book sale website,,References,working,,,organization,,
,,,,https://mugicmotion.com/,Online music website,,References,working,,,organization,,
,,,,https://www.michelleagnes.net/,,,References,working,,,organization,,
,,,,https://vertigo.starts.eu/media/uploads/vertigo-constellactions-residency-public_report.pdf,Online report,,References,working,,,organization,,
,,,,http://philippespiesser.com/en,Online website,,References,working,,,organization,,
,,,,https://doi.org/10.1145/3025453.3025714,DOI related paper,,References,working,,,paper,,
,,,,https://doi.org/10.1145/1226969.1226998,DOI related paper,,References,working,,,paper,,7
6,"TrustToken, a Trusted SoC solution for Non-Trusted Intellectual Property (IP)s",https://arxiv.org/pdf/2209.12987.pdf,,https://www.xilinx.com/support/documentation/user_guides/ug1019-zynq-trustzone.pdf,Presentation slides,,References,working,,,organization,,
,,,,https://docs.xilinx.com/r/en-US/ug1400-vitis-embedded/startup,Unified software platform,,References,working,,,project,,
,,,,https://chromium.googlesource.com/chromium/src/+/HEAD/docs/design/sandbox.md,Chromium docs,,References,working,,,paper,,
,,,,http://dx.doi.org/10.1145/2666141.2666145.,DOI related papre,,References,working,,,paper,,2
,,,,https://onlinelibrary.wiley.com/doi/full/10.1049/iet-cdt.2020.0041%20https://onlinelibrary.wiley.com/doi/abs/10.1049/iet-cdt.2020.0041%20https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/iet-cdt.2020.0041,Online library,,References,working,,,paper,,
7,InterCap: Joint Markerless 3D Tracking of Humans and Objects in Interaction,https://arxiv.org/pdf/2209.12354.pdf,,https://intercap.is.tue.mpg.de/,Project website with all details,,Abstarct,working,,,project,,
,,,,https://intercap.is.tue.mpg.de/,Source code project link,Own project web : Intercap,Introduction,working,Y,Y,code,Y,
,,,,https://files.is.tue.mpg.de/black/CoI_GCPR_2022.txt,Project details,,Acknowledgment,working,,,project,,
,,,,https://intercap.is.tue.mpg.de/,Project video and all details,,Appendix,working,,,project,,
,,,,https://github.com/microsoft/Azure-Kinect-Sensor-SDK,Github code related paper,GitHub,References,working,Y,,code,,
8,Deep Neural Networks for Visual Reasoning,https://arxiv.org/pdf/2209.11990.pdf,15,https://doi.org/10.1007/s11263-021-01514-3,Relevant publication,,Relevant publications,working,,,paper,,
,,,,https://github.com/kenshohara/video-classification-3d-cnn-pytorch,Project github code,GitHub,Footer page,working,Y,Y,code,Y,
,,,,https://github.com/thaolmk54/hcrn-videoqa,Project github code,GitHub,Footer page,working,Y,Y,code,,
,,,,https://github.com/huggingface/transformers,Huggingface website,GitHub,Footer page,working,Y,,code,,
,,,,https://github.com/thaolmk54/LOGNet-VQA,Project related github code,GitHub,Footer page,working,Y,Y,code,,
,,,,https://github.com/tohinz/pytorch-mac-network,Project related code with code to generated data,,Footer page,working,,,code,,
,,,,https://github.com/MILVLG/bottom-up-attention.pytorch,Project related code with code to generated data,GitHub,Footer page,working,Y,Y,code,,
,,,,https://github.com/facebookresearch/detectron2,Project related code with code to generated data,GitHub,Footer page,working,Y,Y,code,,
