Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package
1,A Semi-Supervised Algorithm for Improving the Consistency of Crowdsourced Datasets: The COVID-19 Case Study on Respiratory Disorder Classification,https://arxiv.org/pdf/2209.04360.pdf,1,https://c4science.ch/diffusion/10770/,c4science website for code&dataset repository,c4science,Footer note of paper,working,Y,Y,code&dataset,Y
,,,,https://scikit-learn.org/stable/,Scikit documentation website,,References,working,,,organization,
,,,,https://scikit-learn/stable/modules/generated/sklearn.model_selection.GroupShuffleSplit.html,Scikit website,,References,not working,,,organization,
2,Pathology Synthesis of 3D Consistent Cardiac MR Images Using 2D VAEs and GANs,https://arxiv.org/ftp/arxiv/papers/2209/2209.04223.pdf,1,https://github.com/sinaamirrajab/CardiacPathologySynthesis,Github: code&dataset,GitHub,Abstract,working,Y,Y,code&dataset,Y
3,Machine Learning-based Selection of Graph Partitioning Strategy Using the Characteristics of Graph Data and Algorithm (Regular Papers),https://arxiv.org/pdf/2209.04137.pdf,5,http://creativecommons.org/licenses/by/3.0/,CreativeCommons paper publication website,,Footer note of paper,working,,,organization,
,,,,http://boston.lti.cs.cmu.edu/clueweb12,Clueweb website project decription,,References,working,,,organization,
,,,,https://doi.org/10.1162/neco.1994.6.2.181,MIT press paper publication,,References,working,,,paper,
,,,,http://snap.stanford.edu/data,Stanford uni domain description,,References,working,,,organization,
,,,,http://neo4j.org/,Graph data platform,,References,working,,,organization,
4,Peer to peer learning platform optimized with machine learning,https://arxiv.org/ftp/arxiv/papers/2209/2209.03489.pdf,17,https://helmlearning.com/,HELM online learning website,,Introduction,working,,,organization,
,,,,https://helmlearning.com/our-classes.html,HELM online learning website,,Introduction,working,,,organization,
,,,,https://aws.amazon.com/,Amazon web Services website,,Introduction,working,,,organization,
,,,,https://aws.amazon.com/ec2/,Amazon web Services website on EC2 instance,,Introduction,working,,,organization,
,,,,https://aws.amazon.com/rds/,Amazon web Services website on RDS instance,,Introduction,working,,,organization,
,,,,https://aws.amazon.com/s3/),Amazon web Services website on S3 instance,,Introduction,working,,,organization,
,,,,https://books.google.com/books?id=_3B9AwAAQBAJ,Google link on paper,,References,working,,,project,
,,,,https://books.google.com/books?id=0djaxDeZZXsC,Google link on paper,,References,working,,,project,
,,,,https://machinelearningmastery.com/logistic-regression-for-machine-learning/,Online learning website,,References,working,,,project,
,,,,https://fs.blog/2016/08/fundamental-attribution-error/,Blog link,,References,working,,,Blog,
,,,,https://doi.org/10.1007/s10734-021-00781-w,Springer papaer link,,References,working,,,paper,
,,,,https://en.wikipedia.org/wiki/JSON-WSP,wikipedia JSON details,,References,working,,,organization,
,,,,https://en.wikipedia.org/wiki/LAMP_(software_bundle,wikipedia LAM details,,References,working,,,organization,
,,,,https://en.wikipedia.org/wiki/MySQL,wikipedia SQL description,,References,working,,,organization,
,,,,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestClassifier.html,ScikitLearn learning on RandomForest website,,References,working,,,organization,
,,,,https://www.statisticssolutions.com/what-is-logistic-regression/,StatisticsSolution website,,References,working,,,organization,
,,,,https://restfulapi.net/,RESTAPI link,,References,working,,,organization,
5,SOUND EVENT LOCALIZATION AND DETECTION FOR REAL SPATIAL SOUND SCENES: EVENT-INDEPENDENT NETWORK AND DATA AUGMENTATION CHAINS,https://arxiv.org/pdf/2209.01802.pdf,5,https://github.com/Jinbo-Hu/DCASE2022-TASK3,HGithub: code&dataset,GitHub,Footer note of paper,working,Y,Y,code&dataset,Y
,,,,https://doi.org/10.5281/zenodo.6408611,Zenodo website: paper publication,,Footer note of paper,working,,,paper,
,,,,https://doi.org/10.5281/zenodo.6406873,Zenodo website: paper publication,,Footer note of paper,working,,,paper,
,,,,https://dcase.community/challenge2022,DCase website,,Footer note of paper,working,,,organization,
,,,,https://github.com/danielkrause/DCASE2022-data-generator,Github code link on related work,GitHub,Footer note of paper,working,Y,,code&dataset,
6,Learning to Predict Fitness for Duty using Near Infrared Periocular Iris Images,https://arxiv.org/pdf/2209.01683.pdf,8,http://www.who.int/gho/alcohol/en/,WHO website on alcohol details,,Footer note of paper,working,,,Blog,
,,,,https://www.bgsu.edu/recwell/wellness-connection/,Article: BGSU wesite on wellness connection,,Footer note of paper,working,,,Blog,
,,,,https://www.iritech.com/,Iritech homepage,,Footer note of paper,working,,,Blog,
,,,,https://www.unodc.org/unodc/en/data-and-analysis/wdr2021.html,Unodc website: Data & analysis details,,Footer note of paper,working,,,Blog,
,,,,https://drugfreeworkplace.cl/,DrugFreeWorkplace website,,Footer note of paper,working,,,Blog,
,,,,https://www.chinadaily.com.cn/a/201809/14/WS5b9b0fbca31033b4f4655fe8.html,News link,,References,working,,,Blog,
,,,,https://arxiv.org/abs/2203.02488,Arxiv link on a paper,,References,working,,,paper,
,,,,https://drugfreeworkplace.cl/,DrugFreeWorkplace website,,References,working,,,Blog,
7,Deep learning automates bidimensional and volumetric tumor burden measurement from MRI in pre- and post-operative glioblastoma patients,https://arxiv.org/pdf/2209.01402.pdf,8,https://www.rsna.org/news/2021/november/,NEWS: Online website,,Footer note of paper,working,,,Blog,
,,,,https://ipp.cbica.upenn.edu/,CBICA image processing details,,Methods,,,,blog,
,,,,https://github.com/MIC-DKFZ/nnUNet,Github code link ,GitHub,Implementation,working,Y,Y,code,Y
,,,,https://github.com/MIC-DKFZ/HD-BET,Github code link ,GitHub,Implementation,working,Y,Y,code,Y
,,,,https://ipp.cbica.upenn.edu/,CBICA image processing details,,Methods,working,,,blog,
,,,,https://doi.org/10.7937/K9/TCIA.2017.KLXWJJ1Q,Related papaer link,,References,working,,,paper,
,,,,https://doi.org/10.7937/K9/TCIA.2017.GJQ7R0EF,Related papaer link,,References,working,,,paper,
,,,,http://arxiv.org/abs/1811.02629,Arxiv paper link,,References,working,,,paper,
8,Don’t CWEAT It: Toward CWE Analysis Techniques in Early Stages of Hardware Design,https://arxiv.org/pdf/2209.01291.pdf,7,https://verilator/,Online website link,,References,not working,,,organization,
,,,,https://github.com/lowRISC/ibex,Related paper Github link,,References,working,,,code,
,,,,https://github.com/openrisc/mor1kx,Related paper Github link,,References,working,,,code,
,,,,https://doi.org/10.23919/DATE.2017.7927266,IEEE paper link,,References,working,,,paper,
,,,,https://doi.org/10.1109/MDAT.2020.3013727,IEEE paper link,,References,working,,,paper,
,,,,https://doi.org/10.1145/3483790,ACM DL link,,References,working,,,paper,
,,,,https://github.com/openrisc/orpsoc-cores,Related paper github link,,References,working,,,code,
9,DPXPlain: Privately Explaining Aggregate Query Answers,https://arxiv.org/pdf/2209.01286.pdf,5,https://anonymous.4open.science/r/Private-Explanation-System-083D,Related paper github link,,References,working,,,organization,
,,,,https://www1.nyc.gov/site/tlc/about/tlc-trip-record-data.page,NYC website,,References,working,,,blog,
,,,,https://differentialprivacy.org/one-shot-top-k/,DifferentialPrivacy website,,References,working,,,organization,
,,,,https://doi.org/10.18128/D030.V9.0,IPUMS website,,References,working,,,paper,
,,,,https://differentialprivacy.org/exponential-mechanism-bounded-range/,DifferentialPrivacy website,,References,working,,,organization,
10,DEEP LEARNING-BASED ECG CLASSIFICATION ON RASPBERRY PI USING A TENSORFLOWLITE MODEL BASED ON PTB-XL DATASET,https://arxiv.org/ftp/arxiv/papers/2209/2209.00989.pdf,11,https://www.globenewswire.com/news-release/2021/10/12/2312160/0/en/Internet-of-things-IoT-in-Healthcare-Market-Worth-USD-44652-Billion-at-25-9-CAGR-by-2028-Owing-to-Presence-of-Large-Population-in-AsiaPacific.html,News link,,References,working,,,blog,
,,,,https://doi.org/10.3390/s20051461,Paper link,,References,working,,,paper,
,,,,https://doi.org/10.1038/s41597-020-0495-6,ScienceData website,,References,working,,,paper,
,,,,https://www.tensorflow.org/,,,References,working,,,organization,
,,,,https://www.tensorflow.org/lite,,,References,working,,,organization,
,,,,https://doi.org/10.1007/978-3-030-66770-2/_20,Springer link,,References,working,,,paper,
,,,,https://google.github.io/flatbuffers/,Opensource project,,References,working,,,organization,
,,,,https://doi.org/10.1109/ICSIPA.2009.5478671,IEEE paper link,,References,working,,,paper,
,,,,https://doi.org/10.1038/s41597-020-0495-6,Paper publication link,,References,working,,,paper,
,,,,https://physionet.org/content/ptb-xl/1.0.1/,Largely publicaly available dataset,Physionet,References,working,Y,,organization,
