Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package,#
1,Strong convergence of parabolic rate 1 of discretisations of stochastic Allen-Cahn-type equations,https://arxiv.org/pdf/2209.09222.pdf,2,https://dx.doi.org/10.1007/978-3-540-30788-4_1,Related paper link,,References,working,,,paper,,
,,,,https://arxiv.org/abs/2110.06148,Related paper link,,References,working,,,paper,,20
2,AutoPET Challenge 2022: Step-by-Step Lesion Segmentation in Whole-body FDG-PET/CT,https://arxiv.org/pdf/2209.09199.pdf,1,https://github.com/rightl/autopet,Github code,GitHub,Abstract,working,Y:code to generate data,Y,code,Y,
3,On the Statistics of Elsasser Increments in Solar Wind and Magnetohydrodynamic Turbulence,https://arxiv.org/pdf/2209.09152.pdf,1,http://doi.org/10.1007/s11214-013-0004-8,Related paper link,,References,working,,,paper,,37
4,Machine Learning based Extraction of Boundary Conditions from Doppler Echo Images for Patient Specific Coarctation of the Aorta: Computational Fluid Dynamics Study,https://arxiv.org/pdf/2209.09139.pdf,5,https://figshare.com/s/a86bf491ef0a5b1e38cb,Code availability,,Declarations,working,,Y,code,,
,,,,https://arxiv.org/abs/https://academic.oup.com/ije/article-pdf/48/2/455/28479664/dyz009.pdf,Related paper link,,References,not working,,,paper,,
,,,,https://doi.org/10.1093/ije/dyz009,Related paper link,,References,working,,,paper,,3
,,,,https://books.google.co.za/books?id=kOXDtAEACAAJ,Related paper link,,References,working,,,paper,,
,,,,https://plotdigitizer.com/,Plotdigitizer website,,References,working,,,organization,,
5,COMPUTING ANTI-DERIVATIVES USING DEEP NEURAL NETWORKS ∗,https://arxiv.org/pdf/2209.09084.pdf,1,https://github.com/Dibyajyoti-Chakraborty/Deep-Neural-Network-Integration,Github code,,Introductiom,working,,Y,code,Y,
6,The GenCol algorithm for high-dimensional optimal transport: general formulation and application to barycenters and Wasserstein splines,https://arxiv.org/pdf/2209.09081.pdf,3,https://docs.mosek.com/9.3/toolbox/index.html,Toolbox,,References,working,,,organization,,
,,,,https://doi.org/10.1137/21M140732X,Related paper link,,References,working,,,paper,,
,,,,http://yann.lecun.com/exdb/mnist,MNIST dataset link,MNIST DataBase,References,working,Y,,data,,
7,An adaptive finite element method for distributed elliptic optimal control problems with variable energy regularization,https://arxiv.org/pdf/2209.08811.pdf,2,https://www3.risc.jku.at/projects/mach2/,SuperComputer details,,Footer page,working,,,organization,,
,,,,https://www.oeaw.ac.at/ricam/hpc,"High Perfor,mance computing website",,Footer page,working,,,organization,,
8,Data-driven and machine-learning based predictionofwave propagation behavior in dam-break flood,https://arxiv.org/ftp/arxiv/papers/2209/2209.08729.pdf,2,https://doi.org/10.1016/j.jhydrol.2021.126526,Related paper link,,References,working,,,paper,,44
,,,,https://github.com/lcl1527/Data-driven-and-machine-learning-based-prediction-of-wave-propagation-behavior-in-dam-break-flood,Github code,,Conclusions,working,,Y,code,Y,
9,Analysis of Gaia radial-velocity standards: stability and new substellar companion candidates,https://arxiv.org/pdf/2209.08624.pdf,7,http://sb9.astro.ulb.ac.be/,Project page,,Footer page,working,,,,,
,,,,http://archive.eso.org/wdb/wdb/adp/phase3_spectral/form,Spectral Data products Query form,,Footer page,working,,,,,
,,,,http://atlas.obs-hp.fr/sophie/,SOPHIE archive Dataset download link,SOPHIE archive,Footer page,working,Y,Y,data,,
