Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package,#
1,Computing Race Variants in Message-Passing Concurrent Programming with Selective Receives⋆,https://arxiv.org/pdf/2210.03026.pdf,,https://doi.org/10.1007/978-3-031-08679-3_12,Paer publication link,,Abstract,working,,,paper,,
,,,,https://doi.org/10.1145/3073408,Related paper DOI link,,References,working,,,paper,,
,,,,https://akka.io/,Online Akka website,,References,working,,,organization,,
,,,,https://doi.org/10.1007/978-3-319-89963-3_14,Related paper DOI link,,References,working,,,paper,,
,,,,https://www.erlang.org/,Erlang online website,,References,working,,,organization,,
,,,,https://github.com/mistupv/cauder,Related paper github code,,References,working,,,code,,
,,,,https://go.dev/,Online website link,,References,working,,,organization,,
,,,,https://www.rust-lang.org/,Online website link,,References,working,,,organization,,
,,,,https://info.undo.io/ci-research-report,Online website link,,References,working,,,organization,,
2,An Empirical Studies on How the Developers Discussed about Pandas Topics,https://arxiv.org/pdf/2210.03519.pdf,,https://stackoverflow.com/questions/,Stackoverflow link,,References,working,,,organization,,
,,,,https://digital.hbs.edu/,Online website link,,References,working,,,organization,,
,,,,http://pandas/,Pandas website link,,References,not working,,,organization,,
,,,,https://pandas.pydata.org/,Pandas website link,,References,working,,,organization,,
3,BINDING LANGUAGE MODELS IN SYMBOLIC LANGUAGES,https://arxiv.org/pdf/2210.02875.pdf,,https://github.com/hkunlp/binder,Source code in github with data generated from code,GitHub,Abstract,working,Y,Y,code,Y,
,,,,https://beta.openai.com/,OpenAI website,,Page footer,working,,,organization,,
,,,,https://aclanthology.org/D13-1160,Concept explanation,,References,working,,,organization,,
,,,,https://proceedings.neurips.cc/paper/2020/file/1457c0d6bfcb4967418bfb8ac142f64a-Paper.pdf,Related paper published,,References,working,,,organization,,
,,,,https://aclanthology.org/P19-1264/,Concept explanation,,References,working,,,organization,,
,,,,https://arxiv.org/abs/810.04805,Related paper ,,References,working,,,paper,,
,,,,https://aclanthology.org/2021.findings-emnlp.222,Concept explanation,,References,working,,,organization,,
,,,,https://arxiv.org/abs/1910.13461,Related papaer,,References,working,,,paper,,
,,,,https://aclanthology.org/2022.acl-long.525,Concept explanation,,References,working,,,organization,,
,,,,http://jmlr.org/papers/v21/20-074.html,Concept explanation,,References,working,,,organization,,
,,,,https://aclanthology.org/P17-1041,Concept explanation,,References,working,,,organization,,
,,,,https://huggingface.co/spaces,Hugging face website link,,Page footer,working,,,organization,,
4,"Be Prospective, Not Retrospective: A Philosophy for Advancing Reproducibility in Modern Biological Research",https://arxiv.org/pdf/2210.02593.pdf,,https://github.com/gchure/reproducible_research,Source code in github with data generated from code,GitHub,Experimentation,working,Y,Y,code,Y,
,,,,http://github.com/rpgroup-pboc/mwc_mutants,Project related example code,GitHub,Page footer,working,Y,,code,,
