First three from all the other sheets,,,,,file type,license,data,read.me
"Research question: This is not an annotation, this is a fact-finding mission to get a feeling of how much work it would be to extract the data, and possibly additional metadata, like licences, documentation, citation string, etc.",,,,,,,,
Sheet,Paper Title,Paper link,Links,Description ,,,,
NLP and information extraction,Leveraging Pre-Trained Language Models to Streamline Natural Language Interaction for Self-Tracking,https://arxiv.org/pdf/2205.15503.pdf,https://pypi.org/project/sentence-transformers/,python library,,,no,what kind of algo needed to extract and figure out about the data
,,,https://openai.com/api/,open ai website,,,no,is there a data? where we can find it? license? docs? etc..
,Hero-Gang Neural Model For Named Entity Recognition,https://arxiv.org/pdf/2205.07177.pdf,https://github.com/jinpeng01/HGN,"train/dev/test csv files inside two folders in data folder. The read me file contains a sction titled ""Data"" which mentions that there is an example data inside data/W16_bio folder. no licence ",csv,no,yes,yes
,,,https://github.com/huggingface/transformers,Hugging face transformer library. it has Licence,,yes,no,
,,,https://github.com/google-research/bert,"BERT repo, with Licence",,yes,?,yes
,,,https://github.com/zihangdai/xlnet,"xlnet, there are mentions of different datasets for different tasks in the read me file. But no data are stored in the repo. the read me file provide links or scripts to get the dataset. It has licence",,,,yes
,,,https://github.com/dmis-lab/biobert,"There is a section called ""Datasets"" in the read me file. This section lists three datasets and indicate that all of them can be downloaded by running ""download.sh"" file. After that they provide links to other two datasets with copyright issues",,,,
,AKI-BERT: a Pre-trained Clinical Language Model for Early Prediction of Acute Kidney Injury,https://arxiv.org/pdf/2205.03695.pdf,https://github.com/mocherson/AKI_bert,"No licence, no mention of data in ""read me"" file. There is folder called ""data"" which contains csv files named train,test,etc..",,,,
,,,https://github.com/huggingface/transformers/blob/v1.0.0/examples/lm_finetuning/simple_lm_finetuning.py,this link point to a particular code of the hugging face transformer library,,,,
,,,,,,,,
,,,https://mimic.physionet.org/,link to websiet that contains free medical data for research docs and also  link to github repo. ,,,,
,,,https://openreview.net/forum?id=rJXMpikCZ,link to some paper,,,,
