Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package,#
1,HyperDog: An Open-Source Quadruped Robot Platform Based on ROS2 and micro-ROS,https://arxiv.org/pdf/2209.09171.pdf,2,https://github.com/NDHANA94/hyperdog,Github code,,Footer page,not working,,,code,,
,,,,https://www.sciencedirect.com/science/article/pii/S1474667016407020,Related paper link,,References,working,,,paper,,
2,F*** workflows: when parts of FAIR are missing,https://arxiv.org/pdf/2209.09022.pdf,8,http://energy.gov/downloads/doe-public-access-plan,Website,,Footer page,working,,,paper,,
,,,,https://doi.org/10.1038/sdata.2016.18,Related paper link,,References,working,,,paper,,
,,,,https://doi.org/10.1162/dint_a_00033,Related paper link,,References,working,,,paper,,
,,,,https://doi.org/10.1145/3460210.3493546,Related paper link,,References,working,,,paper,,
,,,,https://www.osti.gov/biblio/1862119,Related paper link,,References,working,,,paper,,
,,,,https://doi.org/10.5281/zenodo.5911910,Related paper link,,References,working,,,paper,,
,,,,https://www.w3.org/TR/prov-o/,Related paper link,,References,working,,,paper,,
,,,,https://doi.org/10.1162/dint_e_00023,Related paper link,,References,working,,,paper,,
3,Adopting Automated Bug Assignment in Practice — A Longitudinal Case Study at Ericsson,https://arxiv.org/pdf/2209.08955.pdf,5,https://github.com/lejon/TRR_Evaluation,Github code,,Footer page,working,,Y,code,Y,
,,,,http://link.springer.com/chapter/10.1007/978-3-642-45135-5_9,Related paper link,,References,working,,,paper,,
,,,,http://mc-stan.org/,MC Stan link,,References,working,,,paper,,
,,,,https://doi.org/10.5281/zenodo.4769127,Related paper link,,References,working,,,Organization,,
,,,,http://xai4se.github.io/,Project website,,References,working,,,Organization,,
4,Rapid Recovery of Program Execution Under Power Failures for Embedded Systems with NVM,https://arxiv.org/pdf/2209.08826.pdf,4,https://newsroom.intel.com/news-releases/intel-and-micron-produce-breakthrough-memory-technology/,News,,References,working,,,News,,
,,,,https://ieeexplore.ieee.org/document/6025222,Related paper link,,References,working,,,paper,,
,,,,doi: 10.1109/VLSID.2014.63,Related paper link,,References,working,,,paper,,
,,,,doi: 10.1109/JSSC.2011.2164732,Related paper link,,References,working,,,paper,,
5,Improving the Performance of DNN-based Software Services using Automated Layer Caching,https://arxiv.org/pdf/2209.08625.pdf,14,https://github.com/aminabedi/Automated-Layer-Caching,Github code,GitHub,Footer page,working,Y,Y,project,Y,
,,,,https://web.stanford.edu/~nanbhas/blog/forward-hooks-pytorch/,NanBhans website,,References,working,,,code,,
,,,,https://proceedings.mlr.press/v70/guo17a.html,Related paper link,,References,working,,,Organization,,
,,,,https://doi.org/10.1007/978-3-642-04898-2_327,Related paper link,,References,working,,,paper,,
,,,,https://doi.org/10.1109/ICECCE49384.2020.9179386,Related paper link,,References,working,,,paper,,
,,,,https://doi.org/10.1109/TIT.2014.2306938,Related paper link,,References,working,,,paper,,
,,,,https://www.androidheadlines.com/2021/05/google-lens-3-billion-uses-per-month,Blog,,References,working,,,Blog,,
,,,,https://github.com/microsoft/nni,Related paper github,GitHub,References,working,Y,,code,,
,,,,https://www.oberlo.ca/blog/google-search-statistics,Blog,,References,working,,,Blog,,
,,,,https://doi.org/10.5281/zenodo.4431043,Related paper link,,References,working,,,paper,,
,,,,https://github.com/automl/NASLib,Related github,GitHub,References,working,Y,,code,,
,,,,https://www.techradar.com/news/google-wants-to-spend-billions-on-new-us-offices-and-data-centers,News,,References,working,,,News,,
,,,,https://github.com/weiaicunzai/pytorch-cifar100,Related github,GitHub,References,working,Y,,code,,
,,,,https://doi.org/10.1109/TPAMI.2021.3067100,Related paper link,,References,working,,,paper,,
6,A Decade of Code Comment Quality Assessment: A Systematic Literature Review,https://arxiv.org/pdf/2209.08165.pdf,9,https://doi.org/10.5281/zenodo.4729054,Related paper link,,Footer page,working,,,paper,,
,,,,https://www.core.edu.au/conference-portal,Conference details,,Footer page,working,,,Organization,,
,,,,http://portal.core.edu.au/jnl-ranks/?search=803&by=for&source=CORE2020&sort=arank&page=1,CORE conference/Journal portal,CORE,Footer page,working,Y,,Organization,,
,,,,http://portal.core.edu.au/conf-ranks/?search=4612&by=for&source=CORE2020&sort=arank&page=1,CORE conference/Journal portal,,Footer page,working,,,Organization,,
,,,,https://github.com/sbaltes/dblp-retriever,Github code,,Footer note,working,,Y,code,Y,
,,,,https://www.tiobe.com/tiobe-index/,Tiobe page,,References,working,,,Organization,,
,,,,https://insights.stackoverflow.com/survey/2020,Insights,,References,working,,,Organization,,
,,,,https://pharo.org/,Pharo website,,References,working,,,paper,,
,,,,https://doi.org/10.1145/3424771.3424792,Related paper link,,References,working,,,paper,,30
7,Parallel faceted imaging in radio interferometry via proximal splitting (Faceted HyperSARA): II. Code and real data proof of concept,https://arxiv.org/pdf/2209.07604.pdf,8,https://basp-group.github.io/RI-measurement-operator,BASP sub-module code,,MATLAB library,working,,,code,,
,,,,https://basp-group.github.io/SARA-dictionary,,,MATLAB library,working,,,code,,
,,,,https://epsrc.ukri.org/research/facilities/hpc/tier2/,Website,,MATLAB library,not working,,,Organization,,
,,,,http://www.cirrus.ac.uk/,CIRRUS website,,Acknowledgement,working,,,code,,
,,,,https://github.com/basp-group/Faceted-HyperSARA,Source code,,Footer page,working,,Y,code,,
,,,,http://www.baspfrontiers.org/,BASP Conference,,References,working,,,Organization,,
,,,,https://github.com/basp-group/Faceted-HyperSARA,Related github code,,References,working,,,code,,
,,,,https://basp-group.github.io/Puri-Psi/,BASP code,,References,working,,,Organization,,
8,Two case studies on implementing best practices for Software Process Improvement⋆,https://arxiv.org/pdf/2209.07172.pdf,3,https://sc.geant.org/,Footer page,,,working,,,paper,,
,,,,http://arxiv.org/ps/2209.07172v1,Figure link,,Appendix,working,,,paper,,
,,,,http://arxiv.org/ps/2209.07172v1,Figure link,,Appendix,working,,,paper,,
9,Cornucopia: A Framework for Feedback Guided Generation of Binaries,https://arxiv.org/pdf/2209.06694.pdf,19,https://doi.org/10.5281/zenodo.7039858,,,,working,,,paper,,
,,,,https://binarygeneration.github.io/,Github code,GitHub,,working,Y,Y,code,Y,
,,,,https://www.usenix.org/conference/usenixsecurity22/presentation/marcelli,Conference link,,References,working,,,Organization,,
,,,,https://github.com/angr/angr/issues?q=is%3Aissue+error,Related paper github code,,References,working,,,code,,
,,,,https://drive.google.com/file/d/1bEiI1O4BP8VbD-vWOiWnidolm9SuELLa/view?usp=sharing,Google drive on the related paper,,References,working,,,Organization,,
,,,,https://rada.re/n/,RADA website,,References,working,,,Organization,,
,,,,https://tigress.wtf/,Tigress website,,References,working,,,Organization,,
,,,,https://bugs.launchpad.net/qemu/+bug/1668041,Blog,,References,working,,,blog,,
,,,,https://doi.org/10.1016/j.infsof.2018.07.007,Related paper,,References,working,,,paper,,
,,,,https://lcamtuf.blogspot.com/2014/08/binary-fuzzing-strategies-what-works.html,Blog,,References,working,,,blog,,
,,,,https://github.com/AFLplusplus/AFLplusplus/blob/stable/docs/custom_mutators.md,Related paper github code,,References,working,,,paper,,
,,,,https://github.com/radareorg/radare2/issues?q=is%3Aissue+error,Related paper github code,,References,working,,,paper,,
,,,,https://www.msreverseengineering.com/blog/2014/6/23/compiler-optimizations-for-reverse-engineers,Related comncept description,,References,working,,,paper,,
,,,,http://allstar.jhuapl.edu/,Website,,References,not working,,,paper,,
,,,,https://github.com/travitch/whole-program-llvm,Related paper github code,,References,working,,,paper,,
,,,,https://doi.org/10.1109/SCAM.2016.17,Related paper,,References,working,,,paper,,
,,,,https://doi.org/10.1109/MALWARE.2018.8659363,Related paper,,References,working,,,paper,,
,,,,https://doi.org/10.1145/1866307.1866368,Related paper,,References,working,,,paper,,
,,,,https://github.com/AFLplusplus/AFLplusplus/blob/stable/docs/technical_details.md#1-coverage-measurements,Related paper github code,,References,not working,,,paper,,
10,The Role of Executable Abstract Programs in Software Development and Documentation,https://abz-conf.org/method/asm/,12,https://abz-conf.org/method/asm/,ASM project website,,Footer page,working,,,Organization,,
,,,,https://en.wikipedia.org/wiki/Warren_Abstract_Machine,Wiki page,,Footer page,working,,,Organization,,
,,,,https://abz-conf.org/method/asm/,ASM project website,,Implementation,working,,,Organization,,
,,,,https://github.com/asmeta/asmeta,Source code,,Footer page,working,,Y,code,Y,
,,,,http://modelingbook.informatik.uni-ulm.de/,Online paper link,,References,working,,,Organization,,
,,,,http://link.springer.com/article/10.1007/s00236-015-0249-7,Related paper publication link,,References,working,,,paper,,
,,,,http://arxiv.org/abs/2001.01862.,Paper publication link,,References,working,,,paper,,
,,,,https://www.uni-ulm.de/coreasm/,Details on ASM project,,References,working,,,code,,
,,,,https://github.com/coreasm/,Gtihub code of source project,,References,working,,,code,,
,,,,http://drops.dagstuhl.de/opus/volltexte/2014/4358/,Dagchstuhle research online publication,,References,working,,,Organization,,
,,,,https://tydo.eu/AsmGofer,ASM details,,References,working,,,Organization,,
,,,,http://www.tydo.org/files/papers/dissJS.pdf,ASM details,,References,working,,,Organization,,
11,emgr – EMpirical GRamian Framework Version 5.99,https://arxiv.org/pdf/2209.03833.pdf,5,https://web.archive.org/web/20121219154629/http://www.morepas.org:80/workshop2012/index.html,Workshop-Munster univesity,,Footer page,working,,,Organization,,
,,,,https://gramian.de/,Project documentation,,Summary,working,,Y,code,,
,,,,http://doi.org/10.5281/zenodo.7048585,DOI having code,,Summary,working,,Y,paper,,
,,,,https://gramian.de/,Project documentation,,References,working,,,project,,
,,,,https://en.wikipedia.org/w/index.php?title=Gram_matrix&oldid=1093332712,Wiki documenratation: Gram matrix,,References,working,,,Organization,,
12,The Science Gateway Community Institute’s Consulting Services Program: Lessons for Research Software Engineering Organizations,https://arxiv.org/ftp/arxiv/papers/2209/2209.03958.pdf,1,https://catalog.sciencegateways.org/#/home,Science gateway organization website,,References,working,,,Organization,,
13,Strong Optimistic Solving for Dynamic Symbolic Execution,https://arxiv.org/pdf/2209.03710.pdf,11,http://msdn.microsoft.com/en-us/library/ms995349.aspx,Related paper in microsoft,,References,working,,,paper,,
,,,,https://www.iso.org/standard/46413.html,Related paper in ISO website,,References,working,,,paper,,
,,,,http://protect.gost.ru/document.aspx?control=7&id=203548,Related paper documentation,,References,working,,,paper,,
,,,,https://www.usenix.org/system/files/woot20-paper-fioraldi.pdf,Related paper pdf,,References,working,,,paper,,
,,,,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-yun.pdf,Related paper pdf,,References,working,,,paper,,
,,,,https://www.usenix.org/system/files/sec20-poeplau.pdf,Related paper pdf,,References,working,,,paper,,
,,,,https://github/,Related paper github code,,References,not working,,,paper,,
,,,,https://static.usenix.org/events/osdi08/tech/full_papers/cadar/cadar.pdf,Related paper pdf,,References,working,,,paper,,
,,,,https://www.burningcutlery.com/derek/docs/phd.pdf,Online website,,References,working,,,Organization,,
,,,,https://triton.quarkslab.com/files/sstic2015_slide_en_saudel_salwan.pdf,Related works presentation,,References,working,,,paper,,
,,,,https://arxiv.org/abs/2006.01621,Related paper pdf,,References,working,,,paper,,
14,Analyzing and Calibrating Risk Assessment by Software Developers,https://arxiv.org/ftp/arxiv/papers/2209/2209.03518.pdf,2,http://www.pmi.org/,PMI Summit website,,Footer page,working,,,Organization,,
,,,,http://sea.jp/ss2017,Software symposium,,Footer page,working,,,paper,,
15,So Much in So Little: Creating Lightweight Embeddings of Python Libraries,https://arxiv.org/pdf/2209.03507.pdf,10,https://github.com/JetBrains-Research/similar-python-dependencies,Project code,GitHub,Footer page,working,Y,Y,code,Y,
,,,,https://pypi.org/project/name,Python library,,References,working,,,Organization,,
,,,,https://openreview.net/forum?id=H1gKYo09tX,Related paper in OpenReview,,References,working,,,paper,,
,,,,https://pip.pypa.io/en/stable/,Python library,,References,working,,,Organization,,
,,,,https://pypi.org/,Python library,,References,working,,,Organization,,
,,,,http://ghtorrent-downloads.ewi.tudelft.nl/mysql/,Online website,,References,working,,,Organization,,
,,,,https://github.com/src-d/datasets/tree/master/,Related paper github with data,GitHub,References,working,Y,,paper,,
,,,,https://pypi.org/project/requirements-parser/,Related papers pyhton library requirements,,References,working,,,paper,,
,,,,https://github.com/tensorlayer/seq2seq-chatbot/,Related papers github code with dataset,GitHub,References,working,Y,,paper,,
,,,,https://github.com/flavioribeiro/video-thumbnail-generator/,Related papers github code,,References,working,,,paper,,
16,Developer Discussion Topics on the Adoption and Barriers of Low Code Software Development Platforms,https://arxiv.org/pdf/2209.00844.pdf,23,https://github.com/al-alamin/LCSD_challenge_EMSE,Source code and data set link,GitHub,Related work,working,Y,Y,code,,
,,,,https://meta.stackexchange.com/tags,Tags for project work,StackExchange,Modelling,working,Y,Y,project,,
,,,,https://aws.amazon.com/amplify/studio/,AWS amplify studio,,References,working,,,Organization,,
,,,,https://apex.oracle.com/,APEX related omline website,,References,working,,,Organization,,
,,,,https://cloud.google.com/appengine/docs,Google app engine,,References,working,,,Organization,,
,,,,https://www.appian.com/,Appian related online website,,References,working,,,project,,
,,,,https://archive.org/details/stackexchange,Data dump project related,StackExchange,References,working,Y,,project,Y,
,,,,https://www.gartner.com/reviews/market/enterprise-low-code-application-platform,Project related online website,,References,working,,,project,,
,,,,https://developers.google.com/appmaker,Google online website,,References,working,,,Organization,,
,,,,https://workspaceupdates.googleblog.com/2020/01/app-maker-update.html,Google documentation,,References,working,,,Organization,,
,,,,https://www.honeycode.aws/,Online website,,References,working,,,Organization,,
,,,,https://help.hcltechsw.com/,Online website,,References,working,,,Organization,,
,,,,https://en.wikipedia.org/wiki/Low-code_development_platform,Wiki details,,References,working,,,Organization,,
