Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package,#
1,Treewidth-aware Reductions of Normal ASP to SAT– Is Normal ASP Harder than SAT after All?,https://arxiv.org/pdf/2210.03553.pdf,5,https://github.com/hmarkus/asp2sat_translator,Source code github link,,Footer page,working,,Y,code,Y,
,,,,https://github.com/daajoe/gtfs2graphs,github code of related paper,,References,working,,,code,,
,,,,https://mccompetition.org/assets/files/2021/MC2021_awards.pdf,Presentation slides of related papaer,,References,working,,,organization,,
,,,,https://github.com/Laakeri/sharpsat-td,github code of related paper,,References,working,,,code,,
,,,,http://argumentationcompetition.org/2021/rules.html,Online website,,References,working,,,organization,,
,,,,http://www.redaktion.tu-berlin.de/fileadmin/i26/download/AG_DiskAlg/FG_KombOptGraphAlg/preprints/1994/Report-396-1994.ps.gz,Link to download a report,,References,working,,,organization,,
2,LGTBIDS: Layer-wise Graph Theory Based Intrusion Detection System in Beyond 5G,https://arxiv.org/ftp/arxiv/papers/2210/2210.03518.pdf,3,10.1109/JIOT.2020.2993410,DOI related paper,,References,working,,,paper,,
,,,,10.1109/JIOT.2020.3007130,DOI related paper,,References,working,,,paper,,
,,,,10.1109/TCSS.2022.3166145,DOI related paper,,References,working,,,paper,,
3,Detecting Narrative Elements in Informational Text,https://arxiv.org/pdf/2210.03028.pdf,2,https://github.com/efle/NEAT,Source code github link,GitHub,Footer page,working,Y,Y,code,Y,
,,,,https://edition.cnn.com/2020/03/09/asia/south-korea-coronavirus-intl-hnk/index.html,CNN news,,Footer page,working,,,news,,
4,NEUROEVOLUTION IS A COMPETITIVE ALTERNATIVE TO REINFORCEMENT LEARNING FOR SKILL DISCOVERY,https://arxiv.org/pdf/2210.03516.pdf,16,http://github.com/google/jax,github code of related paper,,References,working,,,code,,
,,,,https://arxiv.org/abs/2002.03647,Arxiv related paper link,,References,working,,,paper,,
,,,,https://doi.org/10.1145/3321707.3321804,Related paper ACM DL,,References,working,,,paper,,
,,,,https://doi.org/10.1145/3512290.3528860,DOI related paper,,References,working,,,paper,,
,,,,https://arxiv.org/abs/2110.15331,DOI related paper,,References,working,,,paper,,
,,,,https://arxiv.org/abs/2106.13281,DOI related paper,,References,working,,,paper,,
,,,,https://arxiv.org/abs/1611.07507v1,DOI related paper,,References,working,,,paper,,
,,,,https://doi.org/10.1145/3512290.3528837,DOI related paper,,References,working,,,paper,,
,,,,https://proceedings.neurips.cc/paper/2021/file/5f7f02b7e4ade23430f345f954c938c1-Paper.pdf,DOI related paper,,References,working,,,paper,,
,,,,https://arxiv.org/abs/2110.14457,DOI related paper,,References,working,,,paper,,
,,,,https://arxiv.org/abs/2202.00161,DOI related paper,,References,working,,,paper,,
,,,,http://arxiv.org/abs/2202.01258,DOI related paper,,References,working,,,paper,,
,,,,https://doi.org/10.1145/3449639.3459304,DOI related paper,,References,working,,,paper,,
,,,,https://arxiv.org/abs/2103.07084,DOI related paper,,References,working,,,paper,,
,,,,https://doi.org/10.1145/3512290.3528845,DOI related paper,,References,working,,,paper,,
,,,,https://arxiv.org/abs/2202.03666,DOI related paper,,References,working,,,paper,,
,,,,https://arxiv.org/abs/1703.06907,DOI related paper,,References,working,,,paper,,
5,NEUDEP: Neural Binary Memory Dependence Analysis,https://arxiv.org/pdf/2210.02853.pdf,4,https://doi.org/10.1145/3540250.3549147,DOI not found,,Footer page,not working,,,paper,,
,,,,https://ghidra-sre.org/,Online website related paper,,References,working,,,organization,,
,,,,https://qiling.io/,Online framework,,References,working,,,organization,,
,,,,https://github.com/HikariObfuscator/Hikari,github code of related paper,,References,working,,,paper,,
6,Computing Threshold Budgets in Discrete-Bidding Games,https://arxiv.org/pdf/2210.02773.pdf,2,https://doi.org/https://doi.org/10.1016/j.geb.2018.08.005,DOI related paper,,References,working,,,paper,,
,,,,https://doi.org/10.1016/S0304-3975(98)00009-7,DOI related paper,,References,working,,,organization,,
7,Computing groups of Hecke characters,https://arxiv.org/pdf/2210.02716.pdf,10,https://mathoverflow.net/questions/310706,Concept explanation,,Footer page,working,,,paper,,
,,,,https://doi.org/10.1007/978-3-540-24587-2_73,DOI related paper,,References,working,,,paper,,
,,,,https://doi.org/10.1142/S1793042118500896,,,References,working,,,paper,,20
,,,,https://www.lmfdb.org/ModularForm/GL2/Q/holomorphic/,Math formula online website,,References,working,,,organization,,
,,,,https://www.lmfdb.org/Genus2Curve/Q/28561/a/371293/1,,,References,working,,,organization,,
,,,,https://www.jmilne.org/math/CourseNotes/cm.html,Concept expl. online website,,References,working,,,organization,,
,,,,https://pari.math.u-bordeaux.fr/dochtml/html/General_number_fields.html#gcharinit,Concept expl. online website,,References,working,,,paper,,
,,,,http://projecteuclid.org/euclid.nmj/1118798376,DOI related paper,,References,working,,,paper,,
,,,,https://warwick.ac.uk/fac/sci/maths/people/staff/visser/firstyearphd_project2_rvisser.pdf,DOI related paper,,References,working,,,paper,,
8,Learning with Limited Samples – Meta-Learning and Applications to Communication Systems,https://arxiv.org/pdf/2210.02515.pdf,1,10.1561/XXXXXXXXX,DOI of this paper,,Footer page,not working,,,paper,,
9,ISFL: Trustworthy Federated Learning for Non-i.i.d. Data with Local Importance Sampling,https://arxiv.org/pdf/2210.02119.pdf,2,https://github.com/Zhuzzq/ISFL,Source code github project,,Footer page,working,,Y,code,Y,
,,,,https://pytorch.org/,Pytorch website,,Footer page,working,,,organization,,
10,Joint Communication and Computation in Hybrid Cloud/Mobile Edge Computing Networks,https://arxiv.org/pdf/2210.02090.pdf,2,https://www.ericsson.com/en/mobility-report/reports/november-2021,Ericsson website,,References,working,,,organization,,
