Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package,#
1,Generative Deformable Radiance Fields for Disentangled Image Synthesis of Topology-Varying Objects,https://arxiv.org/pdf/2209.04183.pdf,1,https://ziyuwang98.github.io/GDRF/,Paper website with Github code&description,GitHub,Footer page,working,Y,Y,code,Y,
2,Neural Feature Fusion Fields: 3D Distillation of Self-Supervised 2D Image Representations,https://arxiv.org/pdf/2209.03494.pdf,2,https://www.robots.ox.ac.uk/~vadim/n3f/,Paper website with Github code&description,Own project website,Footer page,working,Y,Y,code,Y,
,,,,https://github.com/yenchenlin/nerf-pytorch/,Github code of related paper,GitHub,Experiments,working,Y,Y,code,,
3,Capsule Networks as Generative Models,https://arxiv.org/pdf/2209.02567.pdf,3,https://github.com/adambielski/CapsNet-pytorch,Paper website with Github code&description,GitHub,Below Acknowledgement,working,Y,Y,code,Y,
,,,,https://github.com/BerenMillidge/Sparse,Github code,GitHub,Below Acknowledgement,working,Y,Y,code,,
,,,,https://arxiv.org/abs/2004.03553,Arxiv paper,,References,working,,,,,
4,Controllable 3D Generative Adversarial Face Model via Disentangling Shape and Appearance,https://arxiv.org/ftp/arxiv/papers/2208/2208.14263.pdf,3,https://aashishrai3799.github.io/3DFaceCAM/,Github code \,GitHub,Footer page,working,Y,Y,code,Y,
,,,,https://github.com/donydchen/ganimation,Github code \,GitHub,Footer page,working,Y,Y,code,,
,,,,https://github.com/TadasBaltrusaitis/OpenFace,Github code \,GitHub,Footer page,working,Y,Y,code,,
5,LEVERAGING SYNTHETIC DATA TO LEARN VIDEO STABILIZATION UNDER ADVERSE CONDITIONS ∗,https://arxiv.org/pdf/2208.12763.pdf,2,https://github.com/A-Kerim/SyntheticData4VideoStabilization, Github code&description,GitHub,Experiments,working,Y,Y,code,Y,
,,,,https://github.com/NVIDIA/flownet2-pytorch,Github code,GitHub,References,working,Y,Y,code,,
6,Fast Auto-Differentiable Digitally Reconstructed Radiographs for Solving Inverse Problems in Intraoperative Imaging,,1,https://github.com/v715/DiffDRR,Github code,GitHub,Footer page,working,Y,Y,code,Y,
7,User-Controllable Latent Transformer for StyleGAN Image Layout Editing,https://arxiv.org/pdf/2208.12408.pdf,2,https://github.com/justinpinkney/awesome-pretrained-stylegan2,Github code,GitHub,References,working,Y,Y,code,,
,,,,https://github.com/lessw2020/Ranger-Deep-Learning-Optimizer,Github code,GitHub,References,working,Y,Y,code,,
8,A First Look at Dataset Bias in License Plate Recognition,https://arxiv.org/pdf/2208.10657.pdf,2,https://raysonlaroca.github.io/supp/sibgrapi2022/annotations.zip,Github code,GitHub,Footer page,working,Y,Y,code,Y,
,,,,https://raysonlaroca.github.io/supp/sibgrapi2022/splits.zip,Data annotation & other details,GitHub,Footer page,working,Y,Y,code,,
9,Net2Brain: A Toolbox to compare artificial vision models with human brain responses,https://arxiv.org/pdf/2208.09677.pdf,10,https://github.com/ToastyDom/Net2Brain.git,Github to tool box,GitHub,Experiments,working,Y,Y,code,,
,,,,http://tensorflow.org/,Tensorflow website,,References,working,,,,,
,,,,https://github.com/fchollet/keras,Github code,GitHub,References,working,Y,Y,code,,
,,,,http://arxiv.org/abs/1905.05675,Arxiv paper link,,References,working,,,,,
,,,,https://doi.org/10.1371/journal.pcbi.1009267,DOI paper link,,References,working,,,,,
,,,,https://github.com/facebookresearch/slowfast,Github link,GitHub,References,working,Y,Y,code,,
,,,,https://doi.org/10.1371/journal.pcbi.1003915,DOI link,,References,working,,,,,
,,,,https://www.frontiersin.org/article/10.3389/fninf.2021.679838,News link,,References,working,,,,,
,,,,https://doi.org/10.1038/s41593-019-0520-2,DOI paper link,,References,working,,,,,
,,,,https://github.com/facebookresearch/detectron2,Github code,GitHub,References,working,Y,Y,code,,
10,Rain Removal from Light Field Images with 4D Convolution and Multi-scale Gaussian Process,https://arxiv.org/pdf/2208.07735.pdf,3,https://github.com/YT3DVision/4D-MGP-SRRNet,Github code,GitHub,Footer page,working,Y,Y,code,Y,
,,,,http://lightfield.stanford.edu/lfs.html,Stanford university LightField website,,References,working,,,,,
,,,,https://www.blender.org/,Blender website,,References,working,,,,,
11,Real-time motion amplification on mobile devices,https://arxiv.org/ftp/arxiv/papers/2206/2206.08422.pdf,3,https://doi.org/10.6084/m9.figshare.20084981.v1,Supplementary data,GitHub,Introduction,working,Y,Y,data,,
,,,,https://ats-inc.org/using-motion-amplification-to-identify-issues-not-seen-with-the-naked-eye/,Video of the ouput,,Applications,working,,,project,,
,,,,https://rditechnologies.com/news_post/pumps-and-systems/).,Description of concept,,Applications,working,,,project,,
12,Shadows Shed Light on 3D Objects,https://arxiv.org/pdf/2206.08990.pdf,12,http://arxiv.org/abs/1608.04236,Related paper in arxiv,,References,working,,,paper,,
,,,,http://arxiv.org/abs/1501.00092,Related paper in arxiv,,References,working,,,paper,,
,,,,http://arxiv.org/abs/1612.00603,Related paper in arxiv,,References,working,,,paper,,
,,,,https://doi.org/10.1109/CVPR.2016.182,Related paper in arxiv,,References,working,,,paper,,
,,,,http://arxiv.org/abs/2005.06001,Related paper in arxiv,,References,working,,,paper,,
,,,,https://doi.org/10.1007/s11263-006-8323-9,Related paper in arxiv,,References,working,,,paper,,
,,,,https://www.sciencedirect.com/science/article/pii/0734189X83900993,Related paper in ScienceDirect,,References,working,,,paper,,
,,,,https://doi.org/10.1109/CVPR.2018.00323,Related paper in arxiv,,References,working,,,paper,,
,,,,https://ieeexplore.ieee.org/document/8578421/,Related paper in arxiv,,References,working,,,paper,,
,,,,https://doi.org/10.1109/CVPR.2004.289,Related paper in arxiv,,References,working,,,paper,,
,,,,https://doi.org/10.1109/CVPR42600.2020.00195,Related paper in arxiv,,References,working,,,paper,,
,,,,https://ieeexplore.ieee.org/document/9157490/,Related paper in arxiv,,References,working,,,paper,,
13,"EyeNeRF: A Hybrid Representation for Photorealistic Synthesis, Animation and Relighting of Human Eyes",https://arxiv.org/pdf/2206.08428.pdf,8,https://doi.org/10.1145/3528223.3530130,Paper link in ACM DL,,Footer page,working,,,paper,,
,,,,https://doi.org/2897824.2925962,Related paper,,References,not working,,,paper,,
,,,,https://doi.org/10.1111/cgf.13650,Related paper,,References,working,,,paper,,
,,,,https://doi.org/10.1109/2945.817351,Related paper,,References,working,,,paper,,
,,,,https://trimsh.org/,Trimsh python library,,References,working,,,paper,,
,,,,http://ict.usc.edu/pubs/Acquiring%20the%20Re%EF%AC%82ectance%20Field%20of%20a%20Human%20Face.pdf,Related publication,,References,not working,,,paper,,
,,,,https://doi.org/10.1145/344779.344855,Related publication,,References,working,,,paper,,
,,,,https://doi.org/10.1145/3290605.3300780,Related paper publication in IEEE/ACM DL/Springer,,References,working,,,paper,,20
14,Unbiased 4D: Monocular 4D Reconstruction with a Neural Deformation Model,https://arxiv.org/pdf/2206.08368.pdf,4,https://4dqv.mpi-inf.mpg.de/Ub4D/,Paper published in 4d and quatum vision,,Abstract,working,,,,,
,,,,https://github.com/google/lasr,Github link,GitHub,Footer page,working,Y,Y,code,Y,
,,,,https://github.com/cvfish/PangaeaTracking,Github link,GitHub,Footer page,working,Y,Y,code,Y,
,,,,http://vcai.mpi-inf.mpg.de/projects/Neural_NRSfM/,Graphics & Vision group,,Footer page,working,,,,,
15,Spatially-Adaptive Multilayer Selection for GAN Inversion and Editing,https://arxiv.org/pdf/2206.08357.pdf,3,https://www.cs.cmu.edu/~SAMInversion,Project page,,Abstract,working,,,,,
,,,,https://github.com/adobe-research/sam_inversion,Github code,GitHub,Introduction,working,Y,Y,code,Y,
,,,,https://arxiv.org/abs/2110.06269,Related paper,,References,working,,,,,
16,Realistic One-shot Mesh-based Head Avatars,https://arxiv.org/pdf/2206.08343.pdf,3,https://samsunglabs.github.io/rome/,Github code,GitHub,Header page,working,Y,Y,code,Y,
,,,,https://avatarsdk.com/,Avatar SDK website,,References,working,,,,,
